step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.32,8192,0.00000000e+00,9.282522,,1.159776,25266.50,3904.80
0,1.02,8192,0.00000000e+00,,9.275681,,8038.23,3904.80
40,5.72,335872,1.95121951e-04,6.459347,,2.193353,58696.18,4088.99
80,10.42,663552,3.90243902e-04,4.226420,,0.460471,63698.35,4089.24
120,15.10,991232,5.85365854e-04,3.544857,,0.538199,65649.60,4089.24
160,19.77,1318912,7.80487805e-04,3.261149,,0.555861,66711.07,4089.24
200,24.45,1646592,9.75609756e-04,3.129858,,0.609716,67336.51,4089.24
240,29.14,1974272,9.99199357e-04,2.908238,,0.426172,67741.80,4089.24
256,31.72,2105344,9.98300589e-04,,2.864093,,66379.13,4089.24
280,34.54,2301952,9.96327494e-04,2.617102,,0.453391,66647.27,4089.24
320,39.22,2629632,9.91381413e-04,2.626437,,0.432028,67041.89,4089.24
360,43.93,2957312,9.84384099e-04,2.678317,,0.424109,67321.57,4089.24
400,48.63,3284992,9.75368072e-04,2.464382,,0.409783,67554.34,4089.24
440,53.33,3612672,9.64375232e-04,2.409741,,0.422787,67748.08,4089.49
480,58.02,3940352,9.51456665e-04,2.385549,,0.402329,67912.46,4089.49
512,62.47,4202496,9.39775339e-04,,2.440708,,67272.26,4089.49
520,63.42,4268032,9.36672408e-04,2.532662,,0.429961,67296.04,4089.49
560,68.13,4595712,9.20091168e-04,2.414511,,0.429069,67452.75,4089.49
600,72.84,4923392,9.01790003e-04,2.359041,,0.410584,67593.30,4089.49
640,77.54,5251072,8.81853964e-04,2.187031,,0.409481,67723.94,4089.49
680,82.28,5578752,8.60375700e-04,2.301174,,0.418558,67802.47,4089.49
720,87.06,5906432,8.37455026e-04,2.230860,,0.415120,67843.20,4089.49
760,91.81,6234112,8.13198463e-04,2.063589,,0.395419,67904.28,4089.49
768,93.46,6299648,8.08196660e-04,,2.227142,,67406.14,4089.49
800,97.25,6561792,7.87718737e-04,2.238619,,0.425008,67476.47,4089.49
840,101.99,6889472,7.61134261e-04,2.269025,,0.423952,67552.53,4089.49
880,106.73,7217152,7.33568580e-04,2.261707,,0.414971,67619.70,4089.49
920,111.47,7544832,7.05149800e-04,2.046738,,0.408368,67682.65,4089.49
960,116.20,7872512,6.76009993e-04,2.150291,,0.417752,67752.50,4089.49
1000,120.93,8200192,6.46284580e-04,2.082011,,0.445696,67810.38,4089.49
1024,124.49,8396800,6.28225614e-04,,2.096280,,67451.09,4089.49
1040,126.40,8527872,6.16111703e-04,2.150402,,0.402795,67466.13,4089.49
1080,131.13,8855552,5.85631585e-04,2.033632,,0.422163,67531.45,4089.49
1120,135.85,9183232,5.54985877e-04,2.086460,,0.408159,67596.75,4089.49
1160,140.57,9510912,5.24316997e-04,1.970660,,0.423879,67659.54,4089.49
1200,145.31,9838592,4.93767474e-04,2.030975,,0.407381,67707.51,4089.49
1240,150.04,10166272,4.63479281e-04,1.967005,,0.406138,67754.87,4089.49
1280,154.76,10493952,4.33593176e-04,1.935029,,0.413656,67807.96,4089.55
1280,155.46,10493952,4.33593176e-04,,1.998817,,67504.63,4089.55
1320,160.17,10821632,4.04248048e-04,1.984360,,0.396472,67562.69,4089.55
1360,164.91,11149312,3.75580273e-04,1.941766,,0.394954,67608.34,4089.55
1400,169.64,11476992,3.47723079e-04,1.835745,,0.390615,67655.46,4089.55
1440,174.35,11804672,3.20805927e-04,1.966936,,0.403772,67705.80,4089.55
1480,179.07,12132352,2.94953909e-04,1.978167,,0.410594,67751.14,4089.55
1520,183.83,12460032,2.70287166e-04,1.980027,,0.397670,67781.91,4089.55
1536,186.42,12591104,2.60778222e-04,,1.930275,,67543.23,4089.55
1560,189.26,12787712,2.46920334e-04,1.909689,,0.395684,67566.80,4089.55
1600,193.97,13115392,2.24962004e-04,1.863735,,0.404903,67614.71,4089.55
1640,198.69,13443072,2.04514223e-04,1.886992,,0.390891,67657.51,4089.55
1680,203.44,13770752,1.85672018e-04,1.934310,,0.394587,67689.77,4089.55
1720,208.16,14098432,1.68522956e-04,2.030463,,0.415625,67729.28,4089.55
1760,212.87,14426112,1.53146731e-04,1.779988,,0.396457,67769.86,4089.55
1792,217.32,14688256,1.42170501e-04,,1.882518,,67586.62,4089.55
1800,218.30,14753792,1.39614804e-04,1.909305,,0.399756,67586.26,4089.55
1840,223.04,15081472,1.27990060e-04,1.913316,,0.403011,67618.92,4089.55
1880,227.78,15409152,1.18326523e-04,1.857046,,0.393372,67650.11,4089.55
1920,232.49,15736832,1.10669103e-04,1.875061,,0.394371,67688.43,4089.55
1960,237.21,16064512,1.05053385e-04,1.887694,,0.406215,67723.46,4089.55
2000,241.97,16392192,1.01505469e-04,1.911236,,0.402961,67745.66,4089.55
2040,246.69,16719872,1.00041841e-04,1.816902,,0.403033,67776.54,4089.55
2047,248.22,16777216,1.00000654e-04,,1.857274,,67589.56,4089.55
