step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.32,8192,0.00000000e+00,9.282522,,1.159776,25733.89,3904.80
0,1.00,8192,0.00000000e+00,,9.275681,,8194.55,3904.80
40,5.72,335872,5.85365854e-04,4.784138,,0.470919,58686.83,4088.99
80,10.57,663552,1.17073171e-03,3.534300,,0.481864,62769.20,4089.24
120,15.31,991232,1.75609756e-03,3.118430,,0.406406,64756.24,4089.24
160,20.09,1318912,2.34146341e-03,3.026192,,0.569261,65645.30,4089.24
200,25.01,1646592,2.92682927e-03,3.014839,,0.468315,65838.08,4089.24
240,29.84,1974272,2.99759807e-03,2.875527,,0.426533,66159.41,4089.24
256,32.52,2105344,2.99490177e-03,,2.850376,,64740.75,4089.24
280,35.52,2301952,2.98898248e-03,2.596218,,0.393081,64814.53,4089.24
320,40.56,2629632,2.97414424e-03,2.659458,,0.404607,64839.10,4089.24
360,45.29,2957312,2.95315230e-03,2.729333,,0.353894,65291.07,4089.24
400,50.07,3284992,2.92610422e-03,2.494294,,0.331396,65613.09,4089.24
440,54.94,3612672,2.89312569e-03,2.482692,,0.331861,65752.98,4089.49
480,59.74,3940352,2.85436999e-03,2.459161,,0.330429,65955.09,4089.49
512,64.42,4202496,2.81932602e-03,,2.517363,,65237.87,4089.49
520,65.41,4268032,2.81001722e-03,2.602746,,0.342386,65251.32,4089.49
560,70.19,4595712,2.76027350e-03,2.505575,,0.306285,65470.88,4089.49
600,74.96,4923392,2.70537001e-03,2.442244,,0.303785,65676.49,4089.49
640,79.76,5251072,2.64556189e-03,2.290177,,0.293840,65838.21,4089.49
680,84.60,5578752,2.58112710e-03,2.378934,,0.293870,65946.34,4089.49
720,89.42,5906432,2.51236508e-03,2.315300,,0.295507,66055.38,4089.49
760,94.18,6234112,2.43959539e-03,2.151838,,0.260161,66196.07,4089.49
768,95.83,6299648,2.42458998e-03,,2.319177,,65734.41,4089.49
800,99.65,6561792,2.36315621e-03,2.309103,,0.271401,65847.22,4089.49
840,104.41,6889472,2.28340278e-03,2.360522,,0.282435,65984.86,4089.49
880,109.25,7217152,2.20070574e-03,2.345642,,0.266482,66058.59,4089.49
920,113.95,7544832,2.11544940e-03,2.117754,,0.255676,66212.58,4089.49
960,118.70,7872512,2.02802998e-03,2.225213,,0.254379,66324.75,4089.49
1000,123.52,8200192,1.93885374e-03,2.144755,,0.273819,66386.26,4089.49
1024,127.09,8396800,1.88467684e-03,,2.175052,,66068.25,4089.49
1040,129.05,8527872,1.84833511e-03,2.249055,,0.241974,66081.28,4089.49
1080,133.95,8855552,1.75689476e-03,2.125507,,0.265966,66109.76,4089.49
1120,138.84,9183232,1.66495763e-03,2.148175,,0.261855,66143.10,4089.49
1160,143.71,9510912,1.57295099e-03,2.046513,,0.305538,66181.96,4089.49
1200,148.48,9838592,1.48130242e-03,2.094246,,0.246113,66263.27,4089.49
1240,153.24,10166272,1.39043784e-03,2.045179,,0.245117,66340.55,4089.49
1280,157.94,10493952,1.30077953e-03,2.009398,,0.249260,66441.91,4089.55
1280,158.64,10493952,1.30077953e-03,,2.063915,,66151.28,4089.55
1320,163.35,10821632,1.21274414e-03,2.050779,,0.234696,66248.88,4089.55
1360,168.06,11149312,1.12674082e-03,2.005372,,0.244174,66341.80,4089.55
1400,172.76,11476992,1.04316924e-03,1.885315,,0.244850,66431.95,4089.55
1440,177.46,11804672,9.62417781e-04,2.016193,,0.243089,66520.96,4089.55
1480,182.18,12132352,8.84861726e-04,2.040089,,0.252210,66596.11,4089.55
1520,186.89,12460032,8.10861499e-04,2.041173,,0.244834,66669.10,4089.55
1536,189.47,12591104,7.82334666e-04,,1.979551,,66452.83,4089.55
1560,192.31,12787712,7.40761001e-04,1.959903,,0.244762,66493.94,4089.55
1600,197.02,13115392,6.74886011e-04,1.906909,,0.249883,66570.22,4089.55
1640,201.74,13443072,6.13542668e-04,1.921638,,0.237656,66636.18,4089.55
1680,206.44,13770752,5.57016055e-04,1.968712,,0.239905,66704.80,4089.55
1720,211.14,14098432,5.05568867e-04,2.078455,,0.255759,66772.39,4089.55
1760,215.84,14426112,4.59440194e-04,1.823524,,0.244419,66836.43,4089.55
1792,220.29,14688256,4.26511504e-04,,1.915912,,66676.44,4089.55
1800,221.24,14753792,4.18844412e-04,1.946484,,0.245638,66686.51,4089.55
1840,225.94,15081472,3.83970180e-04,1.947679,,0.248092,66749.48,4089.55
1880,230.65,15409152,3.54979569e-04,1.891048,,0.241068,66807.70,4089.55
1920,235.35,15736832,3.32007308e-04,1.883545,,0.239634,66866.65,4089.55
1960,240.05,16064512,3.15160156e-04,1.915653,,0.249271,66920.93,4089.55
2000,244.76,16392192,3.04516406e-04,1.931423,,0.243718,66972.31,4089.55
2040,249.47,16719872,3.00125524e-04,1.843975,,0.255143,67021.89,4089.55
2047,251.00,16777216,3.00001961e-04,,1.881336,,66842.48,4089.55
