step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.31,8192,0.00000000e+00,9.282522,,1.159776,26039.93,3904.80
0,0.99,8192,0.00000000e+00,,9.275681,,8290.25,3904.80
40,5.65,335872,5.85365854e-05,7.992466,,2.388917,59430.89,4088.99
80,10.30,663552,1.17073171e-04,5.965419,,1.694053,64401.13,4089.24
120,14.95,991232,1.75609756e-04,4.568366,,0.532593,66311.02,4089.24
160,19.59,1318912,2.34146341e-04,3.964607,,0.460666,67331.53,4089.24
200,24.23,1646592,2.92682927e-04,3.677492,,0.686743,67949.21,4089.24
240,29.02,1974272,2.99759807e-04,3.358587,,0.441747,68036.65,4089.24
256,31.61,2105344,2.99490177e-04,,3.313544,,66611.99,4089.24
280,34.45,2301952,2.98898248e-04,3.018472,,0.470211,66817.34,4089.24
320,39.19,2629632,2.97414424e-04,3.015750,,0.560082,67098.18,4089.24
360,43.94,2957312,2.95315230e-04,3.029754,,0.486485,67307.91,4089.24
400,48.70,3284992,2.92610422e-04,2.784713,,0.480087,67450.05,4089.24
440,53.46,3612672,2.89312569e-04,2.724284,,0.477596,67572.96,4089.49
480,58.18,3940352,2.85436999e-04,2.708451,,0.503218,67721.61,4089.49
512,62.64,4202496,2.81932602e-04,,2.745734,,67091.86,4089.49
520,63.60,4268032,2.81001722e-04,2.819259,,0.561125,67111.52,4089.49
560,68.36,4595712,2.76027350e-04,2.719493,,0.523667,67232.16,4089.49
600,73.08,4923392,2.70537001e-04,2.669447,,0.519380,67367.72,4089.49
640,77.80,5251072,2.64556189e-04,2.503306,,0.532994,67493.60,4089.49
680,82.50,5578752,2.58112710e-04,2.604687,,0.559258,67620.68,4089.49
720,87.25,5906432,2.51236508e-04,2.536066,,0.547185,67697.81,4089.49
760,91.97,6234112,2.43959539e-04,2.378094,,0.506689,67786.51,4089.49
768,93.60,6299648,2.42458998e-04,,2.520452,,67306.41,4089.49
800,97.36,6561792,2.36315621e-04,2.544658,,0.551157,67394.38,4089.49
840,102.07,6889472,2.28340278e-04,2.550973,,0.551863,67499.16,4089.49
880,106.81,7217152,2.20070574e-04,2.543169,,0.534813,67572.24,4089.49
920,111.52,7544832,2.11544940e-04,2.324529,,0.522054,67651.56,4089.49
960,116.21,7872512,2.02802998e-04,2.435039,,0.523164,67742.12,4089.49
1000,120.90,8200192,1.93885374e-04,2.368632,,0.582856,67827.60,4089.49
1024,124.41,8396800,1.88467684e-04,,2.393381,,67493.05,4089.49
1040,126.30,8527872,1.84833511e-04,2.450619,,0.509719,67520.43,4089.49
1080,131.01,8855552,1.75689476e-04,2.364613,,0.553992,67595.25,4089.49
1120,135.69,9183232,1.66495763e-04,2.386057,,0.521382,67678.89,4089.49
1160,140.37,9510912,1.57295099e-04,2.258358,,0.553321,67754.97,4089.49
1200,145.09,9838592,1.48130242e-04,2.326890,,0.519991,67810.82,4089.49
1240,149.80,10166272,1.39043784e-04,2.286002,,0.542238,67866.09,4089.49
1280,154.48,10493952,1.30077953e-04,2.239048,,0.568859,67931.76,4089.55
1280,155.16,10493952,1.30077953e-04,,2.301951,,67632.71,4089.55
1320,159.84,10821632,1.21274414e-04,2.288652,,0.530270,67701.43,4089.55
1360,164.56,11149312,1.12674082e-04,2.266164,,0.538054,67753.08,4089.55
1400,169.26,11476992,1.04316924e-04,2.135672,,0.537403,67808.00,4089.55
1440,173.94,11804672,9.62417781e-05,2.291026,,0.542001,67868.17,4089.55
1480,178.61,12132352,8.84861726e-05,2.297851,,0.549173,67927.29,4089.55
1520,183.33,12460032,8.10861499e-05,2.304189,,0.543597,67966.46,4089.55
1536,185.89,12591104,7.82334666e-05,,2.244701,,67732.63,4089.55
1560,188.72,12787712,7.40761001e-05,2.218052,,0.553158,67758.76,4089.55
1600,193.40,13115392,6.74886011e-05,2.184354,,0.558788,67814.50,4089.55
1640,198.07,13443072,6.13542668e-05,2.199848,,0.531193,67869.05,4089.55
1680,202.78,13770752,5.57016055e-05,2.261196,,0.542463,67911.12,4089.55
1720,207.48,14098432,5.05568867e-05,2.364728,,0.563262,67951.69,4089.55
1760,212.16,14426112,4.59440194e-05,2.102556,,0.537083,67996.51,4089.55
1792,216.58,14688256,4.26511504e-05,,2.209000,,67819.20,4089.55
1800,217.52,14753792,4.18844412e-05,2.247080,,0.552267,67828.45,4089.55
1840,222.23,15081472,3.83970180e-05,2.241190,,0.560100,67864.03,4089.55
1880,226.93,15409152,3.54979569e-05,2.166298,,0.547593,67902.68,4089.55
1920,231.61,15736832,3.32007308e-05,2.190394,,0.547402,67944.57,4089.55
1960,236.33,16064512,3.15160156e-05,2.238259,,0.556461,67973.75,4089.55
2000,241.10,16392192,3.04516406e-05,2.242887,,0.547116,67989.56,4089.55
2040,245.83,16719872,3.00125524e-05,2.133429,,0.540373,68012.65,4089.55
2047,247.37,16777216,3.00001961e-05,,2.189609,,67822.56,4089.55
