step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.25,8192,0.00000000e+00,9.241457,,0.765581,32148.56,2549.79
0,0.58,8192,0.00000000e+00,,9.238957,,14006.62,2549.79
40,3.04,335872,1.95121951e-04,7.773965,,1.852298,110347.31,2621.43
80,5.51,663552,3.90243902e-04,5.484637,,0.699900,120478.88,2621.43
120,7.97,991232,5.85365854e-04,4.259701,,0.467693,124337.91,2621.43
160,10.46,1318912,7.80487805e-04,3.757937,,0.423333,126089.48,2621.43
200,12.91,1646592,9.75609756e-04,3.545388,,0.485202,127497.20,2621.43
240,15.37,1974272,9.99199357e-04,3.250697,,0.358177,128455.81,2621.43
256,16.68,2105344,9.98300589e-04,,3.198873,,126255.16,2621.43
280,18.15,2301952,9.96327494e-04,2.916119,,0.370778,126845.22,2621.43
320,20.60,2629632,9.91381413e-04,2.915987,,0.383430,127662.40,2621.43
360,23.04,2957312,9.84384099e-04,2.934254,,0.403725,128335.94,2621.43
400,25.50,3284992,9.75368072e-04,2.705697,,0.387397,128827.16,2621.43
440,27.96,3612672,9.64375232e-04,2.653339,,0.356394,129202.37,2621.43
480,30.43,3940352,9.51456665e-04,2.618926,,0.392419,129509.17,2621.43
512,32.72,4202496,9.39775339e-04,,2.664682,,128431.25,2621.43
520,33.22,4268032,9.36672408e-04,2.741793,,0.417043,128487.98,2621.43
560,35.67,4595712,9.20091168e-04,2.635993,,0.395706,128833.35,2621.43
600,38.12,4923392,9.01790003e-04,2.585695,,0.408624,129143.26,2621.43
640,40.57,5251072,8.81853964e-04,2.424824,,0.393924,129425.39,2621.43
680,43.02,5578752,8.60375700e-04,2.510909,,0.412030,129673.50,2621.43
720,45.47,5906432,8.37455026e-04,2.456107,,0.413037,129893.90,2621.43
760,47.94,6234112,8.13198463e-04,2.304447,,0.393366,130053.41,2621.43
768,48.76,6299648,8.08196660e-04,,2.450084,,129201.75,2621.43
800,50.74,6561792,7.87718737e-04,2.458966,,0.402169,129331.14,2621.43
840,53.20,6889472,7.61134261e-04,2.482490,,0.423123,129493.77,2621.43
880,55.66,7217152,7.33568580e-04,2.470814,,0.405106,129658.03,2621.43
920,58.13,7544832,7.05149800e-04,2.258946,,0.418284,129799.22,2621.43
960,60.59,7872512,6.76009993e-04,2.365485,,0.403306,129937.96,2621.43
1000,63.04,8200192,6.46284580e-04,2.279411,,0.427675,130073.91,2621.43
1024,64.84,8396800,6.28225614e-04,,2.316058,,129492.76,2621.43
1040,65.82,8527872,6.16111703e-04,2.368375,,0.410175,129554.70,2621.43
1080,68.31,8855552,5.85631585e-04,2.267244,,0.414240,129637.41,2621.43
1120,70.79,9183232,5.54985877e-04,2.302593,,0.421745,129718.08,2621.43
1160,73.25,9510912,5.24316997e-04,2.177968,,0.414311,129841.90,2621.43
1200,75.71,9838592,4.93767474e-04,2.238267,,0.407037,129950.75,2621.43
1240,78.17,10166272,4.63479281e-04,2.201008,,0.420586,130050.61,2621.43
1280,80.63,10493952,4.33593176e-04,2.134917,,0.425075,130154.19,2621.43
1280,80.96,10493952,4.33593176e-04,,2.216413,,129624.37,2621.43
1320,83.41,10821632,4.04248048e-04,2.202911,,0.415021,129746.14,2621.43
1360,85.87,11149312,3.75580273e-04,2.181323,,0.413247,129834.46,2621.43
1400,88.35,11476992,3.47723079e-04,2.048595,,0.432960,129900.73,2621.43
1440,90.82,11804672,3.20805927e-04,2.193344,,0.424206,129974.22,2621.43
1480,93.29,12132352,2.94953909e-04,2.218397,,0.437131,130048.76,2621.43
1520,95.76,12460032,2.70287166e-04,2.205405,,0.423703,130117.33,2621.43
1536,97.07,12591104,2.60778222e-04,,2.149717,,129709.99,2621.43
1560,98.54,12787712,2.46920334e-04,2.131566,,0.422782,129765.57,2621.43
1600,100.99,13115392,2.24962004e-04,2.096891,,0.436407,129862.52,2621.43
1640,103.46,13443072,2.04514223e-04,2.106104,,0.421205,129938.67,2621.43
1680,105.91,13770752,1.85672018e-04,2.178925,,0.424679,130021.37,2621.43
1720,108.40,14098432,1.68522956e-04,2.279024,,0.443271,130057.90,2621.43
1760,110.90,14426112,1.53146731e-04,2.007342,,0.422837,130085.80,2621.43
1792,113.21,14688256,1.42170501e-04,,2.108730,,129740.28,2621.43
1800,113.71,14753792,1.39614804e-04,2.126368,,0.411817,129751.40,2621.43
1840,116.19,15081472,1.27990060e-04,2.136687,,0.435325,129805.34,2621.43
1880,118.67,15409152,1.18326523e-04,2.075501,,0.416387,129848.16,2621.43
1920,121.16,15736832,1.10669103e-04,2.078948,,0.421993,129883.43,2621.43
1960,123.65,16064512,1.05053385e-04,2.132062,,0.435616,129923.83,2621.43
2000,126.13,16392192,1.01505469e-04,2.137771,,0.429900,129964.51,2621.43
2040,128.63,16719872,1.00041841e-04,2.054054,,0.432645,129985.08,2621.43
2047,129.41,16777216,1.00000654e-04,,2.087451,,129645.35,2621.43
