step,wall_time,train_loss,val_loss
0,0.33,9.242566,
0,1.07,,9.240188
100,13.58,3.923913,
200,26.05,3.226168,
300,38.54,2.738967,
400,51.04,2.589535,
500,63.54,2.448067,
500,64.27,,2.493238
600,76.81,2.340970,
700,89.34,2.280355,
800,101.85,2.275999,
900,114.39,2.234598,
1000,126.93,2.175519,
1000,127.66,,2.170918
1100,140.16,2.177176,
1200,152.67,2.147843,
1300,165.19,2.036572,
1400,177.71,2.097258,
1500,190.20,2.049927,
1500,190.93,,2.002979
1600,203.41,1.823965,
1700,215.89,1.896369,
1800,228.47,1.942790,
1900,241.09,1.859543,
2000,253.62,1.986523,
2000,254.36,,1.923859
2100,266.84,1.964212,
2200,279.32,1.922454,
2300,291.82,1.868951,
2400,304.31,1.794972,
2500,316.79,1.747663,
2500,317.52,,1.860668
2600,330.04,1.820071,
2700,342.58,1.786539,
2800,355.05,1.876893,
2900,367.56,1.836446,
3000,380.04,1.792082,
3000,380.77,,1.800280
3100,393.24,1.844580,
3200,405.72,1.767751,
3300,418.19,1.753174,
3400,430.73,1.829987,
3500,443.30,1.729740,
3500,444.03,,1.822788
3600,456.51,1.796117,
3700,468.98,1.676755,
3800,481.46,1.737913,
3900,493.94,1.738670,
4000,506.45,1.712033,
4000,507.18,,1.760187
4100,519.65,1.636671,
4200,532.12,1.769253,
4300,544.61,1.722826,
4400,557.10,1.769368,
4500,569.60,1.856070,
4500,570.33,,1.717510
4600,582.82,1.830536,
4700,595.33,1.855408,
4800,607.80,1.649841,
4900,620.32,1.740806,
5000,632.81,1.702376,
5000,633.54,,1.723960
5100,646.03,1.662284,
5200,658.53,1.771355,
5300,671.03,1.692625,
5400,683.54,1.548446,
5500,696.03,1.649964,
5500,696.76,,1.709754
5600,709.27,1.699508,
5700,721.79,1.704791,
5800,734.28,1.654326,
5900,746.78,1.701697,
6000,759.28,1.706060,
6000,760.01,,1.660928
6100,772.49,1.618665,
6200,784.97,1.710447,
6300,797.47,1.660228,
6400,809.97,1.646499,
6500,822.47,1.671539,
6500,823.20,,1.677801
6600,835.69,1.701486,
6700,848.17,1.688107,
6800,860.66,1.548218,
6900,873.16,1.588800,
7000,885.65,1.793475,
7000,886.38,,1.636442
7100,898.86,1.579037,
7200,911.36,1.668804,
7300,923.85,1.700267,
7400,936.35,1.706875,
7500,948.82,1.588009,
7500,949.55,,1.635499
7600,962.04,1.597718,
7700,974.52,1.590679,
7800,987.00,1.640814,
7900,999.48,1.704906,
8000,1012.05,1.526902,
8000,1012.78,,1.625432
8100,1025.26,1.660648,
8200,1037.73,1.594821,
8300,1050.21,1.558045,
8400,1062.68,1.615963,
8500,1075.17,1.664167,
8500,1075.90,,1.635652
8600,1088.40,1.661535,
8700,1100.87,1.610737,
8800,1113.34,1.626070,
8900,1125.84,1.572469,
9000,1138.33,1.684391,
9000,1139.06,,1.597643
9100,1151.55,1.570574,
9200,1164.04,1.616060,
9300,1176.54,1.681945,
9400,1189.01,1.471857,
9500,1201.48,1.593120,
9500,1202.21,,1.612927
9600,1214.70,1.640982,
9700,1227.20,1.462283,
9800,1239.67,1.686954,
9900,1252.14,1.641021,
10000,1264.61,1.558005,
10000,1265.34,,1.595891
10100,1277.80,1.575561,
10200,1290.30,1.546020,
10300,1302.76,1.441970,
10400,1315.22,1.613615,
10500,1327.68,1.508729,
10500,1328.40,,1.568844
10600,1340.80,1.627259,
10700,1353.23,1.504388,
10800,1365.62,1.553202,
10900,1378.07,1.566584,
11000,1390.39,1.513371,
11000,1391.11,,1.567063
11100,1403.42,1.465761,
11200,1415.74,1.481143,
11300,1428.11,1.592663,
11400,1440.45,1.596649,
11500,1452.77,1.455494,
11500,1453.49,,1.534618
11600,1465.82,1.539208,
11700,1478.16,1.504860,
11800,1490.48,1.551997,
11900,1502.80,1.402171,
12000,1515.12,1.517251,
12000,1515.83,,1.544271
12100,1528.15,1.554920,
12200,1540.47,1.550391,
12300,1552.79,1.552746,
12400,1565.11,1.543425,
12500,1577.44,1.537773,
12500,1578.15,,1.542453
12600,1590.47,1.508762,
12700,1602.78,1.572577,
12800,1615.10,1.406292,
12900,1627.42,1.478800,
13000,1639.76,1.513257,
13000,1640.47,,1.521133
13100,1652.79,1.578874,
13200,1665.10,1.481684,
13300,1677.42,1.525019,
13400,1689.73,1.535743,
13500,1702.06,1.575796,
13500,1702.78,,1.520625
13600,1715.10,1.469476,
13700,1727.39,1.444316,
13800,1739.73,1.451771,
13900,1752.06,1.454400,
14000,1764.39,1.499236,
14000,1765.11,,1.537334
14100,1777.43,1.468584,
14200,1789.74,1.496037,
14300,1802.05,1.503321,
14400,1814.37,1.471812,
14500,1826.68,1.522915,
14500,1827.40,,1.508913
14600,1839.73,1.431834,
14700,1852.06,1.437806,
14800,1864.39,1.612447,
14900,1876.72,1.495708,
15000,1889.03,1.474459,
15000,1889.74,,1.512914
15100,1902.05,1.490325,
15200,1914.37,1.449643,
15300,1926.70,1.589088,
15400,1939.01,1.483277,
15500,1951.34,1.401119,
15500,1952.06,,1.499620
15600,1964.38,1.438039,
15700,1976.71,1.432152,
15800,1989.03,1.569112,
15900,2001.34,1.446346,
16000,2013.67,1.462112,
16000,2014.39,,1.497744
16100,2026.73,1.511224,
16200,2039.04,1.617165,
16300,2051.37,1.450906,
16400,2063.69,1.465275,
16500,2075.99,1.512336,
16500,2076.71,,1.501670
16600,2089.03,1.659339,
16700,2101.33,1.459943,
16800,2113.67,1.554243,
16900,2125.99,1.533676,
17000,2138.29,1.532020,
17000,2139.00,,1.478225
17100,2151.33,1.697543,
17200,2163.63,1.443174,
17300,2175.94,1.456644,
17400,2188.26,1.471547,
17500,2200.58,1.384375,
17500,2201.30,,1.458135
17600,2213.60,1.518387,
17700,2225.91,1.416501,
17800,2238.22,1.506835,
17900,2250.53,1.533160,
18000,2262.88,1.455559,
18000,2263.60,,1.478740
18100,2275.95,1.436725,
18200,2288.28,1.523620,
18300,2300.61,1.514380,
18400,2312.91,1.490817,
18500,2325.23,1.473398,
18500,2325.95,,1.443566
