step,wall_time,train_loss,val_loss
0,1.36,9.266958,
0,4.41,,9.269741
100,93.20,3.115758,
200,182.56,2.530345,
300,268.19,2.274794,
400,353.94,2.042503,
500,440.13,1.984397,
500,443.01,,1.991018
600,533.29,1.938019,
700,623.82,1.906998,
800,714.54,1.794966,
900,803.61,1.761985,
1000,895.03,1.776792,
1000,897.95,,1.805915
1100,984.19,1.760458,
1200,1072.92,1.733954,
1300,1158.04,1.754680,
1400,1241.47,1.726883,
1500,1324.93,1.719117,
1500,1327.82,,1.688778
1600,1414.20,1.716712,
1700,1504.66,1.681225,
1800,1754.08,1.649233,
1900,1861.33,1.670192,
2000,1959.82,1.636558,
2000,1962.97,,1.656233
2100,2061.58,1.648700,
2200,2160.18,1.652850,
2300,2258.74,1.666304,
2400,2357.21,1.637690,
2500,2453.78,1.625867,
2500,2456.72,,1.625450
2600,2548.51,1.634717,
2700,2645.14,1.596529,
2800,2744.34,1.572251,
2900,2851.12,1.602585,
3000,2950.10,1.619969,
3000,2953.24,,1.594434
3100,3051.62,1.604106,
3200,3149.96,1.586576,
3300,3248.37,1.605825,
3400,3346.67,1.567810,
3500,3445.52,1.629172,
3500,3448.64,,1.588026
3600,3546.97,1.597680,
3700,3645.33,1.551211,
3800,3743.77,1.603600,
3900,3842.13,1.550198,
4000,3940.44,1.505514,
4000,3943.56,,1.565965
4100,4041.77,1.555669,
4200,4133.98,1.577049,
4300,4225.28,1.552009,
4400,4316.57,1.567548,
4500,4407.82,1.539713,
4500,4410.71,,1.552068
4600,4507.98,1.558825,
4700,4606.42,1.550921,
4800,4704.97,1.510772,
4900,4803.50,1.546322,
5000,4901.99,1.542563,
5000,4905.13,,1.540035
5100,5003.58,1.575975,
5200,5106.01,1.539620,
5300,5206.87,1.508616,
5400,5310.69,1.552329,
5500,5422.08,1.520123,
5500,5425.37,,1.538752
5600,5534.15,1.517731,
5700,5669.28,1.532859,
5800,7036.98,1.490690,
5900,7138.04,1.468428,
6000,7235.70,1.485994,
6000,7238.58,,1.527983
6100,7336.38,1.501853,
6200,7433.97,1.559083,
6300,7531.60,1.545153,
6400,7629.23,1.482813,
6500,7726.90,1.470730,
6500,7729.77,,1.504717
6600,7827.42,1.499691,
6700,7925.08,1.507764,
6800,8022.75,1.509513,
6900,8120.43,1.514837,
7000,8218.04,1.545052,
7000,8220.93,,1.502758
7100,8318.65,1.508298,
7200,8416.43,1.598296,
7300,8514.08,1.434060,
7400,8611.75,1.478646,
7500,8709.42,1.532656,
7500,8712.32,,1.495406
7600,8809.99,1.474311,
7700,8907.62,1.464673,
7800,9005.30,1.497818,
7900,9102.97,1.493831,
8000,9200.60,1.512946,
8000,9203.49,,1.484615
8100,9301.15,1.530910,
8200,9398.79,1.495042,
8300,9496.47,1.482444,
8400,12106.26,1.476425,
8500,12204.47,1.455690,
8500,12207.38,,1.470171
8600,12305.36,1.442809,
8700,12403.06,1.471033,
8800,12500.73,1.429609,
8900,12599.06,1.441312,
9000,12703.02,1.473048,
9000,12705.95,,1.468106
9100,12805.19,1.500351,
9200,12912.05,1.462265,
9300,13016.79,1.436745,
9400,13130.55,1.469223,
9500,13234.78,1.437222,
9500,13237.66,,1.470022
9600,13349.23,1.497048,
9700,13456.33,1.444983,
9800,13561.42,1.457058,
9900,13671.18,1.470541,
10000,13771.94,1.431914,
10000,13774.94,,1.457238
10100,13876.97,1.417517,
10200,13982.36,1.503828,
10300,14082.98,1.459498,
10400,14202.59,1.506886,
10500,14322.62,1.468197,
10500,14325.52,,1.464239
10600,14439.52,1.454919,
10700,14561.62,1.388886,
10800,14659.62,1.419952,
10900,14758.31,1.454514,
11000,14860.39,1.454165,
11000,14863.30,,1.451807
11100,14961.28,1.441076,
11200,15059.22,1.406125,
11300,15157.16,1.434189,
11400,15255.10,1.457191,
