step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.25,8192,0.00000000e+00,9.241457,,0.765581,32502.30,2549.79
0,0.63,8192,0.00000000e+00,,9.238957,,12983.91,2549.79
160,10.93,1318912,1.95360195e-04,5.432016,,0.633482,120695.96,2621.43
320,21.11,2629632,3.90720391e-04,3.615072,,0.496229,124558.98,2621.43
480,31.10,3940352,5.86080586e-04,3.047512,,0.466307,126717.08,2621.43
640,40.88,5251072,7.81440781e-04,2.720325,,0.455454,128455.68,2621.43
800,50.76,6561792,9.76800977e-04,2.695391,,0.422341,129273.08,2621.43
960,60.83,7872512,9.99188102e-04,2.558515,,0.474194,129411.58,2621.43
1024,65.24,8396800,9.98284363e-04,,2.485260,,128715.25,2621.43
1120,71.19,9183232,9.96304005e-04,2.453311,,0.428196,129000.27,2621.43
1280,81.13,10493952,9.91346361e-04,2.270465,,0.421194,129348.96,2621.43
1440,91.31,11804672,9.84338204e-04,2.281472,,0.422603,129282.15,2621.43
1600,101.30,13115392,9.75312094e-04,2.171993,,0.428346,129469.93,2621.43
1760,111.38,14426112,9.64309966e-04,2.078421,,0.416454,129522.46,2621.43
1920,121.37,15736832,9.51382937e-04,2.140473,,0.427338,129654.80,2621.43
2048,129.97,16785408,9.39695452e-04,,2.113051,,129145.70,2621.43
2080,132.15,17047552,9.36591067e-04,2.130512,,0.437999,129005.75,2684.45
2240,142.32,18358272,9.20003079e-04,1.987849,,0.422729,128995.80,2684.45
2400,152.39,19668992,9.01696042e-04,2.060767,,0.413678,129069.20,2684.45
2560,162.42,20979712,8.81755010e-04,2.026487,,0.431466,129167.60,2684.45
2720,172.51,22290432,8.60272631e-04,2.010600,,0.425744,129210.26,2684.45
2880,182.48,23601152,8.37348713e-04,2.034389,,0.405843,129334.55,2684.45
3040,192.52,24911872,8.13089761e-04,2.003875,,0.428125,129396.69,2684.45
3072,194.90,25174016,8.08087581e-04,,1.971247,,129166.75,2684.45
3200,202.99,26222592,7.87608483e-04,2.101914,,0.423929,129179.06,2684.45
3360,213.04,27533312,7.61023266e-04,1.928168,,0.416739,129242.56,2684.45
3520,223.07,28844032,7.33457627e-04,1.792109,,0.389110,129306.11,2684.45
3680,233.04,30154752,7.05039636e-04,1.792510,,0.435340,129396.25,2684.45
3840,243.09,31465472,6.75901324e-04,1.980280,,0.430530,129437.36,2684.45
4000,253.20,32776192,6.46178070e-04,1.843703,,0.422772,129446.16,2684.45
4096,259.52,33562624,6.28120699e-04,,1.884790,,129326.04,2684.45
4160,263.62,34086912,6.16007969e-04,1.850638,,0.421478,129300.80,2684.45
4320,273.60,35397632,5.85531191e-04,1.861979,,0.414166,129379.67,2684.45
4480,283.57,36708352,5.54889335e-04,1.782407,,0.420191,129449.73,2684.45
4640,293.64,38019072,5.24224762e-04,1.912192,,0.434582,129475.73,2684.45
4800,303.81,39329792,4.93679943e-04,1.800249,,0.411941,129457.30,2684.45
4960,313.86,40640512,4.63396788e-04,1.750472,,0.438225,129485.49,2684.45
5120,323.89,41951232,4.33515996e-04,1.751629,,0.418026,129522.09,2684.45
5120,324.24,41951232,4.33515996e-04,,1.822170,,129384.17,2684.45
5280,334.19,43261952,4.04176393e-04,1.784497,,0.447293,129452.80,2684.45
5440,344.13,44572672,3.75514292e-04,1.736207,,0.414574,129521.98,2684.45
5600,354.14,45883392,3.47662859e-04,1.749567,,0.428042,129562.43,2684.45
5760,364.11,47194112,3.20751493e-04,1.718484,,0.414138,129615.34,2684.45
5920,374.12,48504832,2.94905225e-04,1.687354,,0.418295,129651.13,2684.45
6080,384.14,49815552,2.70244137e-04,1.685979,,0.438809,129680.18,2684.45
6144,388.51,50339840,2.60737416e-04,,1.773108,,129572.02,2684.45
6240,394.53,51126272,2.46882807e-04,1.766130,,0.443239,129586.55,2684.45
6400,404.44,52436992,2.24929772e-04,1.793655,,0.446736,129653.43,2684.45
6560,414.35,53747712,2.04487026e-04,1.696766,,0.444075,129714.98,2684.45
6720,424.34,55058432,1.85649547e-04,1.720070,,0.438366,129749.95,2684.45
6880,434.46,56369152,1.68504856e-04,1.801258,,0.455010,129744.23,2684.45
7040,444.38,57679872,1.53132606e-04,1.716230,,0.457195,129798.38,2684.45
7168,452.76,58728448,1.42159245e-04,,1.739126,,129713.27,2684.45
7200,454.78,58990592,1.39604219e-04,1.744503,,0.443431,129713.18,2684.45
7360,464.75,60301312,1.27982548e-04,1.815876,,0.461248,129749.22,2684.45
7520,474.74,61612032,1.18321586e-04,1.735884,,0.481866,129779.26,2684.45
7680,484.91,62922752,1.10666220e-04,1.756790,,0.476799,129760.84,2684.45
7840,494.94,64233472,1.05052017e-04,1.739226,,0.457220,129780.71,2684.45
8000,504.96,65544192,1.01505061e-04,1.660005,,0.449171,129801.73,2684.45
8160,515.00,66854912,1.00041830e-04,1.725221,,0.463714,129815.96,2684.45
8191,517.32,67108864,1.00000041e-04,,1.723024,,129723.72,2684.45
