step,wall_time,train_loss,val_loss
0,0.32,9.262709,
0,1.01,,9.260133
50,6.93,7.302176,
100,12.89,5.046885,
150,18.87,4.266411,
200,24.75,3.701400,
250,30.65,3.394084,
300,36.49,3.211540,
350,42.37,3.107735,
400,48.29,2.958588,
450,54.20,2.859119,
500,60.11,2.720576,
500,60.81,,2.772116
550,66.71,2.640748,
600,72.60,2.709680,
650,78.48,2.720359,
700,84.38,2.441491,
750,90.27,2.494936,
800,96.16,2.523723,
850,102.05,2.558778,
900,107.95,2.528170,
950,113.83,2.293673,
1000,119.70,2.399038,
1000,120.39,,2.425442
1050,126.29,2.383858,
1100,132.18,2.263584,
1150,138.07,2.398356,
1200,143.98,2.247853,
1250,149.86,2.392816,
1300,155.75,2.320130,
1350,161.62,2.239588,
1400,167.51,2.305337,
1450,173.38,2.221541,
1500,179.24,2.145819,
1500,179.94,,2.276671
1550,185.81,2.255400,
1600,191.81,2.194872,
1650,198.03,2.185072,
1700,204.21,2.137510,
1750,210.35,2.085557,
1800,216.42,2.116376,
1850,222.56,2.277495,
1900,228.75,2.259050,
1950,234.80,2.129266,
